"","date","source","kW","TemperatureF","Temp_bin"
"89",2014-02-14,"kW_bills",0.00011943530058662,57.8741418765417,"(56.6,59]"
"90",2014-02-14,"kW_sim",0.000102912830468345,57.8741418765417,"(56.6,59]"
"91",2014-02-15,"kW_bills",0.000132135084055252,55.0948703280417,"(54.2,56.6]"
"92",2014-02-15,"kW_sim",0.000107846103012828,55.0948703280417,"(54.2,56.6]"
"93",2014-02-16,"kW_bills",0.000125016796221137,55.8839626243333,"(54.2,56.6]"
"94",2014-02-16,"kW_sim",0.000109159877691338,55.8839626243333,"(54.2,56.6]"
"95",2014-02-17,"kW_bills",0.000129935026743617,50.9006483597917,"(49.5,51.8]"
"96",2014-02-17,"kW_sim",0.000117040219049825,50.9006483597917,"(49.5,51.8]"
"97",2014-02-18,"kW_bills",0.00012532022318727,51.976067887125,"(51.8,54.2]"
"98",2014-02-18,"kW_sim",0.000106357056749995,51.976067887125,"(51.8,54.2]"
"99",2014-02-19,"kW_bills",0.000120087467505649,56.3925438589167,"(54.2,56.6]"
"100",2014-02-19,"kW_sim",0.000105174297593145,56.3925438589167,"(54.2,56.6]"
"101",2014-02-20,"kW_bills",0.00012030945107909,53.7243516402083,"(51.8,54.2]"
"102",2014-02-20,"kW_sim",0.000104940659164529,53.7243516402083,"(51.8,54.2]"
"103",2014-02-21,"kW_bills",0.00011779782212618,54.7882341728333,"(54.2,56.6]"
"104",2014-02-21,"kW_sim",0.000105327055515064,54.7882341728333,"(54.2,56.6]"
"105",2014-02-22,"kW_bills",0.000127919091625555,53.9726353932917,"(51.8,54.2]"
"106",2014-02-22,"kW_sim",0.000109986301755612,53.9726353932917,"(51.8,54.2]"
"107",2014-02-23,"kW_bills",0.000128115604075357,54.0284134250417,"(51.8,54.2]"
"108",2014-02-23,"kW_sim",0.000111371684590322,54.0284134250417,"(51.8,54.2]"
"109",2014-02-24,"kW_bills",0.000119974901937975,56.0702707865833,"(54.2,56.6]"
